Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,CAMBODIA,15.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,23,SINGAPORE,50.25,12.56,41
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,THAILAND,20.0,0.0,27
JZI,Airlines,Online,Basic Plan,M,12,HONG KONG,26.0,9.1,52
C2B,Airlines,Online,Bronze Plan,M,24,SINGAPORE,44.5,11.13,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,"KOREA, REPUBLIC OF",52.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,HONG KONG,17.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,MALAYSIA,14.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,JAPAN,20.0,0.0,24
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,77,BRUNEI DARUSSALAM,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,107,PHILIPPINES,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,MALAYSIA,20.0,0.0,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,56,VIET NAM,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,103,"KOREA, REPUBLIC OF",43.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,92,NEW ZEALAND,80.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,BELGIUM,80.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,SRI LANKA,34.0,0.0,36
JZI,Airlines,Online,Value Plan,M,19,CHINA,45.0,15.75,39
JZI,Airlines,Online,Value Plan,M,10,THAILAND,33.0,11.55,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,MALAYSIA,32.0,0.0,36
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,M,12,"KOREA, REPUBLIC OF",36.5,23.73,34
JZI,Airlines,Online,Basic Plan,F,14,CHINA,26.0,9.1,32
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,89,MALAYSIA,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,15,INDIA,22.0,7.7,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,23,MALAYSIA,29.7,17.82,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,VIET NAM,10.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,INDIA,23.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,UGANDA,25.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,AUSTRALIA,9.9,5.94,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,INDONESIA,15.0,0.0,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,29,INDONESIA,25.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,CHINA,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,61,THAILAND,20.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,29,POLAND,68.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,AUSTRALIA,54.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,SRI LANKA,41.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,MYANMAR,11.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,5,SINGAPORE,16.0,4.0,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,5,CAMBODIA,20.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,HONG KONG,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,INDONESIA,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,INDIA,32.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,27,JAPAN,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,44,SINGAPORE,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,49,CAMBODIA,17.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,28,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,"KOREA, REPUBLIC OF",31.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,41,INDONESIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,79,INDONESIA,11.0,0.0,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,THAILAND,32.0,0.0,46
SSI,Airlines,Online,Ticket Protector,Prefer not say,33,SINGAPORE,1.99,0.56,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,INDONESIA,39.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,THAILAND,24.0,0.0,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,INDIA,11.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,THAILAND,30.0,0.0,28
JZI,Airlines,Online,Basic Plan,F,106,JAPAN,35.0,12.25,27
C2B,Airlines,Online,Bronze Plan,F,24,SINGAPORE,20.25,5.06,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,HONG KONG,76.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,"KOREA, REPUBLIC OF",32.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,3,MALAYSIA,0.0,5.94,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,UNITED KINGDOM,29.7,17.82,50
ART,Airlines,Online,24 Protect,M,106,PHILIPPINES,5.62,1.97,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,"KOREA, REPUBLIC OF",39.6,23.76,46
SSI,Airlines,Online,Ticket Protector,Prefer not say,59,SINGAPORE,4.31,1.21,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,20,ITALY,29.7,17.82,48
C2B,Airlines,Online,Bronze Plan,M,0,SINGAPORE,27.0,6.75,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,7,QATAR,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,19,THAILAND,18.0,6.3,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,11,THAILAND,20.0,0.0,23
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,CHINA,14.0,0.0,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,INDONESIA,16.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,0,SINGAPORE,9.77,2.74,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,69,INDIA,26.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,MALAYSIA,10.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,86,CHINA,0.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,33,HONG KONG,17.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,HONG KONG,21.0,0.0,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,MALAYSIA,29.0,0.0,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,5,MALAYSIA,29.7,17.82,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,49,"KOREA, REPUBLIC OF",57.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,5,HONG KONG,26.0,9.1,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,101,JAPAN,42.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,69,INDIA,41.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,20,SINGAPORE,72.0,18.0,29
C2B,Airlines,Online,Bronze Plan,M,14,SINGAPORE,32.4,8.1,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,VIET NAM,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,PHILIPPINES,15.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,10,SINGAPORE,27.0,6.75,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,MYANMAR,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,8,CHINA,22.0,7.7,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,SWITZERLAND,80.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,51,MYANMAR,25.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,11,SINGAPORE,22.5,5.63,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,HONG KONG,40.0,0.0,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,33,AUSTRALIA,39.6,23.76,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,PHILIPPINES,16.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,2,MALAYSIA,9.9,5.94,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,INDONESIA,10.0,0.0,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,21,"KOREA, REPUBLIC OF",83.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,16,SINGAPORE,25.0,0.0,38
JZI,Airlines,Online,Basic Plan,M,59,THAILAND,18.0,6.3,54
C2B,Airlines,Online,Bronze Plan,F,71,SINGAPORE,33.5,8.38,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,MALAYSIA,29.7,17.82,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,25,RUSSIAN FEDERATION,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,103,CHINA,26.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,11,THAILAND,29.7,17.82,36
JZI,Airlines,Online,Basic Plan,M,6,VIET NAM,18.0,6.3,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,PHILIPPINES,36.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,HONG KONG,29.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,16,VIET NAM,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,JAPAN,39.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,20,CHINA,42.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,20,SINGAPORE,20.0,5.0,45
C2B,Airlines,Online,Bronze Plan,M,13,SINGAPORE,53.0,13.25,45
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,53,GERMANY,19.8,11.88,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,CHINA,20.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,CAMBODIA,10.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,27,SINGAPORE,22.1,5.53,23
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,INDIA,16.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,SINGAPORE,13.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,96,THAILAND,50.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,6,SINGAPORE,17.55,4.39,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,23,HONG KONG,15.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,26,THAILAND,20.0,0.0,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,31,THAILAND,19.8,11.88,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,1,MALAYSIA,9.9,5.94,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,SINGAPORE,81.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,5,SINGAPORE,29.0,7.25,41
C2B,Airlines,Online,Bronze Plan,M,13,SINGAPORE,26.5,6.63,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,JAPAN,0.0,0.0,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,INDIA,16.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,36,SINGAPORE,31.8,7.95,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,HONG KONG,22.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,GERMANY,0.0,17.82,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,12,MALAYSIA,19.8,11.88,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,23,CHINA,19.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,84,THAILAND,10.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,INDONESIA,10.0,0.0,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,MALAYSIA,25.0,0.0,34
JZI,Airlines,Online,Basic Plan,F,94,INDONESIA,42.0,14.7,45
JZI,Airlines,Online,Basic Plan,F,8,CHINA,26.0,9.1,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,CHINA,16.0,0.0,50
C2B,Airlines,Online,Silver Plan,F,17,SINGAPORE,46.5,11.63,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,JAPAN,24.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,95,"TAIWAN, PROVINCE OF CHINA",17.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,6,CHINA,21.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,13,SINGAPORE,70.85,17.71,42
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,CHINA,73.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,22,MYANMAR,20.0,0.0,35
JZI,Airlines,Online,Basic Plan,M,5,SWITZERLAND,36.0,12.6,33
JZI,Airlines,Online,Basic Plan,M,13,CHINA,26.0,9.1,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,VIET NAM,12.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,14,SINGAPORE,47.5,11.88,32
JZI,Airlines,Online,Basic Plan,F,1,INDONESIA,18.0,6.3,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,CHINA,18.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,THAILAND,29.7,17.82,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,84,MYANMAR,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,11,HONG KONG,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,CHINA,25.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,INDIA,15.0,0.0,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,61,COLOMBIA,43.0,0.0,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,NEPAL,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,43,INDONESIA,37.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,66,THAILAND,39.6,23.76,53
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,24,CHINA,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,41,INDONESIA,11.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,CHINA,27.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,"TANZANIA, UNITED REPUBLIC OF",64.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,101,THAILAND,21.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,HONG KONG,40.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,16,SINGAPORE,63.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,27,SINGAPORE,23.0,5.75,34
C2B,Airlines,Online,Bronze Plan,M,12,SINGAPORE,35.5,8.88,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,AUSTRALIA,62.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,54,INDIA,54.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,SRI LANKA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,"TAIWAN, PROVINCE OF CHINA",34.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,5,GERMANY,29.7,17.82,55
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,50,GUYANA,70.0,0.0,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,55,NETHERLANDS,10.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,38,AUSTRALIA,29.7,17.82,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,43,"TAIWAN, PROVINCE OF CHINA",45.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,7,CAMBODIA,65.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,VIET NAM,0.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,MALAYSIA,26.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,57,JAPAN,38.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,CHINA,26.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,19,THAILAND,29.7,17.82,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,CHINA,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,13,CHINA,25.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,LAO PEOPLE'S DEMOCRATIC REPUBLIC,10.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,5,SINGAPORE,1.29,0.36,48
C2B,Airlines,Online,Bronze Plan,M,39,SINGAPORE,29.9,7.47,23
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,37,SWITZERLAND,57.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,66,MACAO,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,JAPAN,80.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,8,HONG KONG,22.0,7.7,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,46,AUSTRALIA,51.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,10,CAMBODIA,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,6,SINGAPORE,13.5,3.38,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,53,UZBEKISTAN,80.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,38,BANGLADESH,13.0,0.0,26
JZI,Airlines,Online,Basic Plan,M,6,HONG KONG,26.0,9.1,27
JZI,Airlines,Online,Basic Plan,F,12,CHINA,26.0,9.1,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,58,THAILAND,11.0,0.0,36
RAB,Airlines,Online,Value Plan,M,4,BRUNEI DARUSSALAM,15.0,6.0,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,CHINA,10.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,64,SINGAPORE,53.25,13.31,47
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,19.5,4.88,42
SSI,Airlines,Online,Ticket Protector,Prefer not say,85,SINGAPORE,1.32,0.37,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,22,PHILIPPINES,20.0,0.0,35
SSI,Airlines,Online,Ticket Protector,Prefer not say,42,SINGAPORE,10.75,3.02,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,UNITED ARAB EMIRATES,55.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,44,INDIA,20.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,10,SINGAPORE,33.5,8.38,50
JZI,Airlines,Online,Basic Plan,M,24,CHINA,26.0,9.1,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,2,SINGAPORE,0.0,5.94,34
C2B,Airlines,Online,Silver Plan,F,8,SINGAPORE,22.5,5.63,25
JZI,Airlines,Online,Value Plan,F,63,AUSTRALIA,58.0,20.3,43
C2B,Airlines,Online,Silver Plan,F,5,SINGAPORE,15.0,3.75,27
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,23.5,5.88,36
C2B,Airlines,Online,Bronze Plan,F,7,SINGAPORE,21.0,5.25,32
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,16.0,4.0,30
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,12,INDONESIA,20.0,0.0,30
C2B,Airlines,Online,Silver Plan,M,2,SINGAPORE,18.5,4.63,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,25,THAILAND,29.7,17.82,34
C2B,Airlines,Online,Silver Plan,M,8,SINGAPORE,29.0,7.25,33
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,JAPAN,24.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,22,AUSTRALIA,0.0,23.76,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,23,SINGAPORE,51.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,7,CHINA,46.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,10,SINGAPORE,47.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,34,CANADA,24.0,0.0,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,3,"KOREA, REPUBLIC OF",27.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,16,HONG KONG,41.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,18,SINGAPORE,10.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,INDIA,22.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,73,CHINA,31.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,70,SINGAPORE,39.0,9.75,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,UNITED STATES,43.0,0.0,24
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,41,CHINA,24.0,0.0,39
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,49,UNITED STATES,27.0,0.0,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,85,PHILIPPINES,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,59,HONG KONG,24.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,AUSTRALIA,40.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,CHINA,64.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,THAILAND,13.0,0.0,25
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,32,THAILAND,32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,CHINA,23.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,"KOREA, REPUBLIC OF",26.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,31,AUSTRALIA,59.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,102,BERMUDA,43.0,0.0,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,55,CHINA,22.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,40,SWEDEN,29.7,17.82,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,60,AUSTRALIA,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,71,ITALY,71.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,58,SINGAPORE,80.0,0.0,48
C2B,Airlines,Online,Silver Plan,M,3,SINGAPORE,30.0,7.5,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,68,AUSTRALIA,39.6,23.76,45
TST,Travel Agency,Offline,Travel Cruise Protect,M,17,MALAYSIA,30.0,10.5,42
